LotArea,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageArea,GrLivArea,MSSubClass,OverallCond,SalePrice
8450,2003,856,856,854,2,3,8,548,1710,60,5,208500
9600,1976,1262,1262,0,2,3,6,460,1262,20,8,181500
11250,2001,920,920,866,2,3,6,608,1786,60,5,223500
9550,1915,756,961,756,1,3,7,642,1717,70,5,140000
14260,2000,1145,1145,1053,2,4,9,836,2198,60,5,250000
14115,1993,796,796,566,1,1,5,480,1362,50,5,143000
10084,2004,1686,1694,0,2,3,7,636,1694,20,5,307000
10382,1973,1107,1107,983,2,3,7,484,2090,60,6,200000
6120,1931,952,1022,752,2,2,8,468,1774,50,5,129900
7420,1939,991,1077,0,1,2,5,205,1077,190,6,118000
11200,1965,1040,1040,0,1,3,5,384,1040,20,5,129500
11924,2005,1175,1182,1142,3,4,11,736,2324,60,5,345000
12968,1962,912,912,0,1,2,4,352,912,20,6,144000
10652,2006,1494,1494,0,2,3,7,840,1494,20,5,279500
10920,1960,1253,1253,0,1,2,5,352,1253,20,5,157000
6120,1929,832,854,0,1,2,5,576,854,45,8,132000
11241,1970,1004,1004,0,1,2,5,480,1004,20,7,149000
10791,1967,0,1296,0,2,2,6,516,1296,90,5,90000
13695,2004,1114,1114,0,1,3,6,576,1114,20,5,159000
7560,1958,1029,1339,0,1,3,6,294,1339,20,6,139000
14215,2005,1158,1158,1218,3,4,9,853,2376,60,5,325300
7449,1930,637,1108,0,1,3,6,280,1108,45,7,139400
9742,2002,1777,1795,0,2,3,7,534,1795,20,5,230000
4224,1976,1040,1060,0,1,3,6,572,1060,120,7,129900
8246,1968,1060,1060,0,1,3,6,270,1060,20,8,154000
14230,2007,1566,1600,0,2,3,7,890,1600,20,5,256300
7200,1951,900,900,0,1,3,5,576,900,20,7,134800
11478,2007,1704,1704,0,2,3,7,772,1704,20,5,306000
16321,1957,1484,1600,0,1,2,6,319,1600,20,6,207500
6324,1927,520,520,0,1,1,4,240,520,30,6,68500
8500,1920,649,649,668,1,3,6,250,1317,70,4,40000
8544,1966,1228,1228,0,1,3,6,271,1228,20,6,149350
11049,2007,1234,1234,0,2,3,7,484,1234,20,5,179900
10552,1959,1398,1700,0,1,4,6,447,1700,20,5,165500
7313,2005,1561,1561,0,2,2,6,556,1561,120,5,277500
13418,2004,1117,1132,1320,3,4,9,691,2452,60,5,309000
10859,1994,1097,1097,0,1,3,6,672,1097,20,5,145000
8532,1954,1297,1297,0,1,3,5,498,1297,20,6,153000
7922,1953,1057,1057,0,1,3,5,246,1057,20,7,109000
6040,1955,0,1152,0,2,2,6,0,1152,90,5,82000
8658,1965,1088,1324,0,2,3,6,440,1324,20,5,160000
16905,1959,1350,1328,0,1,2,5,308,1328,20,6,170000
9180,1983,840,884,0,1,2,5,504,884,85,7,144000
9200,1975,938,938,0,1,3,5,308,938,20,6,130250
7945,1959,1150,1150,0,1,3,6,300,1150,20,6,141000
7658,2005,1752,1752,0,2,2,6,576,1752,120,5,319900
12822,2003,1434,1518,631,1,1,6,670,2149,50,5,239686
11096,2006,1656,1656,0,2,3,7,826,1656,20,5,249700
4456,1920,736,736,716,2,2,8,0,1452,190,5,113000
7742,1966,955,955,0,1,3,6,386,955,20,7,127000
13869,1997,794,794,676,2,3,6,388,1470,60,6,177000
6240,1934,816,816,0,1,3,6,528,1176,50,6,114500
8472,1963,816,816,0,1,2,5,516,816,90,5,110000
50271,1981,1842,1842,0,0,0,5,894,1842,20,5,385000
7134,1955,384,1360,0,1,3,6,572,1360,80,5,130000
10175,1964,1425,1425,0,2,3,7,576,1425,20,5,180500
2645,1999,970,983,756,2,3,7,480,1739,160,5,172500
11645,2004,860,860,860,2,3,7,565,1720,60,5,196500
13682,2006,1410,1426,1519,3,3,10,641,2945,60,5,438780
7200,1972,780,780,0,1,2,4,352,780,20,7,124900
13072,2004,1158,1158,0,1,3,5,576,1158,20,5,158000
7200,1920,530,581,530,1,3,6,288,1111,75,7,101000
6442,2006,1370,1370,0,2,2,6,484,1370,120,5,202500
10300,1921,576,902,808,2,3,9,480,1710,70,6,140000
9375,1997,1057,1057,977,2,3,8,645,2034,60,5,219500
9591,2004,1143,1143,1330,2,4,9,852,2473,60,5,317000
19900,1970,1947,2207,0,2,3,7,576,2207,20,5,180000
10665,2003,1453,1479,0,2,3,7,558,1479,20,5,226000
4608,1945,747,747,0,1,2,4,220,747,30,6,80000
15593,1953,1304,1304,983,2,3,7,667,2287,50,4,225000
13651,1973,2223,2223,0,2,3,8,516,2223,20,6,244000
7599,1982,845,845,0,1,2,4,360,845,20,6,129500
10141,1998,832,885,833,2,3,7,427,1718,60,5,185000
10200,1954,1086,1086,0,1,3,6,490,1086,20,7,144900
5790,1915,840,840,765,2,3,8,379,1605,50,6,107400
1596,1973,462,526,462,1,2,5,297,988,180,5,91000
8475,1956,952,952,0,1,2,4,283,952,20,7,135750
8635,1948,672,1072,213,1,2,6,240,1285,50,5,127000
10778,1968,1768,1768,0,2,4,8,0,1768,90,5,136500
10440,1910,440,682,548,1,2,5,440,1230,50,6,110000
13000,1968,896,1182,960,2,4,8,509,2142,60,6,193500
4500,1998,1237,1337,0,2,2,5,405,1337,120,5,153500
10206,2007,1563,1563,0,2,3,6,758,1563,20,5,245000
8892,1960,1065,1065,0,1,3,6,461,1065,20,5,126500
8530,1995,384,804,670,2,3,7,400,1474,80,5,168500
16059,1991,1288,1301,1116,2,4,9,462,2417,60,5,260000
11911,2005,684,684,876,2,3,6,400,1560,60,5,174000
3951,2009,612,612,612,2,2,4,528,1224,160,5,164500
8470,1915,1013,1013,0,1,2,6,0,1526,50,2,85000
8070,1994,990,990,0,1,3,5,0,990,20,5,123600
7200,1950,0,1040,0,1,2,4,420,1040,20,5,109900
8500,1961,1235,1235,0,1,2,6,480,1235,20,3,98600
13360,1921,876,964,0,1,2,5,432,964,30,7,163500
7200,1910,1214,1260,1031,2,4,9,506,2291,190,6,133900
9337,1997,824,905,881,2,3,7,684,1786,60,5,204750
9765,1993,680,680,790,2,3,6,420,1470,60,8,185000
10264,1999,1588,1588,0,2,3,6,472,1588,20,5,214000
10921,1965,960,960,0,1,3,6,432,960,20,5,94750
10625,1920,458,835,0,1,2,5,366,835,30,5,83000
9320,1959,950,1225,0,1,3,6,0,1225,20,5,128950
10603,1977,1610,1610,0,2,3,6,480,1610,20,7,205000
9206,1985,741,977,755,2,3,7,476,1732,60,5,178000
7018,1979,0,1535,0,2,4,8,410,1535,90,5,118964
10402,2009,1226,1226,0,2,3,6,740,1226,20,5,198900
7758,1931,1040,1226,592,1,4,7,240,1818,50,4,169500
9375,2003,1053,1053,939,2,3,9,648,1992,60,5,250000
10800,1885,641,1047,0,1,2,6,273,1047,30,7,100000
6000,1948,789,789,0,1,2,5,250,789,20,5,115000
8500,1919,793,997,520,2,3,7,0,1517,50,7,115000
11751,1977,1844,1844,0,2,3,7,546,1844,20,6,190000
9525,1954,994,1216,639,2,4,7,325,1855,50,4,136900
7750,2000,384,774,656,2,3,7,400,1430,80,5,180000
9965,2007,1264,1282,1414,2,4,10,792,2696,60,5,383970
21000,1953,1809,2259,0,2,3,7,450,2259,20,5,217000
7259,1945,1028,1436,884,2,3,9,180,2320,70,8,259500
3230,1999,729,729,729,2,2,5,440,1458,160,5,176000
11616,1962,1092,1092,0,1,3,6,288,1092,20,5,139000
8536,2006,1125,1125,0,1,2,5,430,1125,20,5,155000
12376,1990,1673,1699,1523,3,5,11,594,3222,60,5,320000
8461,2005,728,728,728,2,3,8,390,1456,60,5,163990
21453,1969,938,988,0,1,1,4,540,988,80,5,180000
6060,1939,732,772,351,1,3,4,264,1123,50,5,100000
9464,1958,1080,1080,0,1,3,5,288,1080,20,7,136000
7892,1993,1199,1199,0,2,2,5,530,1199,120,5,153900
17043,1979,1362,1586,0,2,3,7,435,1586,20,5,181000
6780,1935,520,520,0,1,2,5,0,754,190,8,84500
4928,1976,1078,958,0,2,2,5,440,958,120,5,128000
4388,1930,672,840,0,1,3,5,0,840,45,7,87000
7590,1966,660,660,688,1,3,6,453,1348,60,5,155000
8973,1958,1008,1053,0,1,3,6,750,1053,20,7,150000
14200,1966,924,1216,941,2,4,8,487,2157,60,6,226000
12224,2000,992,1022,1032,2,3,7,390,2054,60,5,244000
7388,1959,1063,1327,0,1,3,7,624,1327,20,6,150750
6853,2001,1267,1296,0,2,2,6,471,1296,20,5,220000
10335,1968,1461,1721,0,2,3,7,440,1721,20,6,180000
10400,1970,1304,1682,0,2,3,7,530,1682,20,6,174000
10355,1967,1214,1214,0,2,3,5,318,1214,20,5,143000
11070,1988,1907,1959,0,3,5,9,766,1959,90,5,171000
9066,1999,1004,1004,848,2,3,7,660,1852,60,5,230000
15426,1997,928,928,836,2,3,7,470,1764,60,5,231500
10500,1971,864,864,0,1,3,5,0,864,20,5,115000
11645,2005,1734,1734,0,2,3,7,660,1734,20,5,260000
8520,1952,910,910,475,2,4,6,720,1385,50,4,166000
10335,1999,1490,1501,0,2,3,6,577,1501,20,5,204000
9100,1963,1728,1728,0,2,6,10,504,1728,90,5,125000
2522,2004,970,970,739,2,3,7,380,1709,160,5,130000
6120,1931,715,875,0,1,2,5,180,875,30,7,105000
9505,2001,884,884,1151,2,3,8,434,2035,60,5,222500
7500,2004,1080,1080,0,1,3,6,0,1080,20,5,141000
6240,1936,896,896,448,1,3,7,240,1344,50,4,115000
10356,1975,969,969,0,1,3,5,440,969,20,6,122000
13891,2007,1710,1710,0,2,2,6,866,1710,20,5,372402
14803,1971,825,1097,896,2,4,8,495,1993,60,5,190000
13500,1960,1602,1252,0,1,1,4,564,1252,20,7,235000
11340,1923,1200,1200,0,1,4,7,312,1200,30,5,125000
9600,1924,572,572,524,1,2,5,0,1096,50,5,79000
7200,1950,0,1040,0,1,2,5,625,1040,20,7,109500
12003,2009,774,774,1194,2,4,8,680,1968,60,5,269500
12552,2004,991,991,956,2,3,8,678,1947,60,5,254900
19378,2005,1392,1392,1070,2,4,9,576,2462,60,5,320000
11120,1984,1232,1232,0,2,3,6,516,1232,20,6,162500
13688,2003,1572,1572,1096,2,3,10,726,2668,60,5,412500
12182,2005,1541,1541,0,2,3,7,532,1541,20,5,220000
5500,1956,882,882,0,1,1,4,0,882,45,6,103200
5400,1926,1149,1149,467,2,3,5,216,1616,40,7,152000
10106,1940,644,808,547,2,4,6,0,1355,190,7,127500
10708,1955,1617,1867,0,1,2,7,303,1867,20,5,190000
10562,2007,1582,1610,551,1,3,8,789,2161,60,5,325624
8244,2004,840,840,880,2,3,7,440,1720,60,5,183500
16669,1981,1686,1707,0,2,2,6,511,1707,20,6,228000
12358,1941,720,854,0,1,2,7,660,1382,50,6,128500
31770,1960,1080,1656,0,1,3,7,528,1656,20,5,215000
5306,1987,1064,1064,703,2,2,5,504,1767,160,7,239000
10197,1961,1362,1362,0,1,3,6,504,1362,20,5,163000
12416,1986,1606,1651,0,2,3,7,616,1651,20,5,184000
12615,1950,1202,2158,0,2,4,7,576,2158,20,7,243000
10029,1988,1151,1164,896,2,4,8,521,2060,60,5,211000
13650,1958,1052,1252,668,2,4,8,451,1920,50,5,172500
17423,2008,2216,2234,0,2,1,9,1166,2234,20,5,501837
8520,1923,968,968,0,1,2,5,480,968,30,6,100000
2117,2000,756,769,756,2,3,5,440,1525,160,5,177000
7588,1920,793,901,901,1,4,9,216,1802,70,6,200100
9060,1957,0,1340,0,1,3,7,252,1340,20,6,120000
11426,2003,1362,1362,720,2,3,6,484,2082,50,5,200000
7438,1908,504,936,316,1,3,5,576,1252,50,8,127000
22950,1892,1107,1518,1518,2,4,12,840,3608,75,9,475000
9947,1990,1188,1217,0,2,3,6,497,1217,80,5,173000
10410,1916,660,808,704,2,3,8,180,1656,50,7,135000
7018,1979,1086,1224,0,0,2,6,528,1224,90,5,153337
4923,2001,1593,1593,0,1,0,5,682,1593,120,5,286000
10570,1932,853,1549,1178,2,3,10,440,2727,70,8,315000
7472,1972,725,725,754,1,4,7,484,1479,60,9,184000
9017,1999,1431,1431,0,2,3,6,666,1431,20,5,192000
2522,2004,970,970,739,2,3,7,380,1709,160,5,130000
7180,1972,864,864,0,1,3,5,352,864,20,7,127000
2280,1976,855,855,601,2,3,7,440,1456,160,6,148500
9416,2007,1726,1726,0,2,3,8,786,1726,20,5,311872
25419,1918,1360,1360,1360,2,4,8,795,3112,75,4,235000
5520,1912,755,929,929,1,5,8,0,2229,75,6,104000
9591,2004,1713,1713,0,2,3,7,856,1713,20,5,274900
8546,2003,1121,1121,0,2,2,5,440,1121,20,5,140000
10125,1977,1196,1279,0,2,3,6,473,1279,20,6,171500
7000,1924,617,865,445,2,2,6,398,1310,50,6,112000
4438,2004,848,848,0,1,1,3,420,848,120,5,149000
3500,1947,720,720,564,1,2,5,240,1284,50,7,110000
11851,1990,1424,1442,0,2,3,5,500,1442,20,5,180500
13673,1962,1140,1696,0,1,3,8,349,1696,20,5,143900
12493,1960,1100,1100,0,1,3,6,312,1100,20,5,141000
14364,1988,1157,1180,882,2,3,7,454,2062,60,5,277000
8250,1964,1092,1092,0,1,3,6,504,1092,20,7,145000
5604,1925,864,864,0,1,2,5,0,864,30,6,98000
10420,2009,1212,1212,0,2,3,6,460,1212,20,5,186000
8640,2009,900,932,920,2,3,7,644,1852,60,5,252678
13568,1995,990,990,0,1,3,5,576,990,20,5,156000
10900,1977,689,689,703,1,3,6,299,1392,60,7,161750
10011,1957,1070,1236,0,1,2,6,447,1236,20,6,134450
8450,2004,1436,1436,0,2,3,8,484,1436,20,5,210000
9906,1925,686,810,518,1,3,8,210,1328,70,4,107000
15660,1939,798,1137,817,1,3,8,431,1954,50,9,311500
3010,2005,1248,1248,0,2,2,5,438,1248,120,5,167240
8990,2006,1498,1498,0,2,2,5,675,1498,20,5,204900
8068,2002,1010,1010,1257,2,4,8,390,2267,60,5,200000
11475,1975,713,811,741,2,3,6,434,1552,60,6,179900
10500,1971,864,864,0,1,2,4,576,864,20,6,97000
13472,2003,2392,2392,0,2,3,8,968,2392,20,5,386250
1680,1971,630,630,672,2,3,6,280,1302,160,5,112000
9950,1995,1203,1214,1306,2,4,9,721,2520,60,5,290000
1869,1970,483,483,504,1,2,5,280,987,160,6,106000
8521,1967,912,912,0,1,3,5,336,912,20,5,125000
3182,2005,1373,1555,0,2,2,7,430,1555,120,5,192500
8760,1959,1194,1194,0,1,3,6,312,1194,20,6,148000
15138,1995,1462,1490,1304,2,4,9,810,2794,60,5,403000
1680,1972,483,483,504,1,2,5,288,987,160,5,94500
10650,1976,894,894,0,1,3,5,308,894,20,6,128200
7851,2002,860,860,1100,2,4,8,440,1960,60,5,216500
1680,1971,483,483,504,1,2,5,264,987,160,3,89500
8773,2004,1414,1414,0,2,3,6,494,1414,20,5,185500
9453,1993,996,1014,730,2,3,7,457,1744,60,7,194500
12030,2007,1694,1694,0,2,3,7,818,1694,20,5,318000
8741,1945,735,798,689,1,3,7,220,1487,50,4,113000
9000,2008,1566,1566,0,2,3,7,750,1566,20,5,262500
3880,1945,686,866,0,1,2,4,0,866,30,9,110500
5000,1900,540,889,551,1,3,6,352,1440,50,4,79000
10762,1980,626,626,591,1,3,6,288,1217,160,6,120000
8880,1994,948,1222,888,2,3,8,463,2110,60,5,205000
10400,1988,1845,1872,0,2,3,6,604,1872,20,5,241500
9142,1910,1020,908,1020,2,4,9,440,1928,190,8,137000
11310,1954,1367,1375,0,1,2,5,451,1375,20,5,140000
11317,2003,840,840,828,2,3,8,500,1668,60,5,180000
159000,1958,1444,1444,700,2,4,7,389,2144,50,7,277000
5350,1940,728,1306,0,1,3,6,0,1306,30,2,76500
4750,2006,1573,1625,0,2,2,5,538,1625,120,5,235000
8366,2004,798,798,842,2,3,6,520,1640,60,5,173000
9350,1964,1302,1302,0,2,3,7,309,1302,80,7,158000
8400,1957,1314,1314,0,1,3,5,294,1314,20,6,145000
8738,1999,975,1005,1286,2,4,8,429,2291,60,5,230000
8791,2003,864,864,864,2,3,7,673,1728,60,5,207500
8814,2006,1604,1604,0,2,3,8,660,1604,20,5,220000
12435,2001,963,963,829,2,3,7,564,1792,60,5,231500
12702,1956,0,882,0,1,2,4,308,882,20,5,97000
19296,1962,1362,1382,0,1,3,6,884,1382,80,5,176000
9588,2007,1482,1482,1092,2,3,10,868,2574,60,5,276000
8471,1977,506,1212,0,1,3,6,492,1212,80,7,151000
5500,1929,926,926,0,1,3,6,484,1316,50,7,130000
5232,1925,680,764,0,1,2,4,504,764,30,5,73000
12090,1981,1422,1422,0,2,3,7,576,1422,20,6,175500
11207,1997,802,802,709,2,3,8,413,1511,60,5,185000
8400,1939,720,1052,720,2,4,8,240,2192,75,8,179500
6900,1940,740,778,0,1,2,4,924,778,30,6,120500
7917,1976,1143,1113,0,1,3,6,504,1113,20,7,148000
10728,2006,1095,1095,844,2,3,8,1053,1939,60,5,266000
39104,1954,1385,1363,0,1,2,5,439,1363,20,7,241500
11764,1999,1152,1164,1106,2,4,9,671,2270,60,7,290000
9600,1958,1240,1632,0,2,3,6,338,1632,20,6,139000
8314,1982,816,816,0,1,2,5,264,816,20,7,124500
7264,1925,952,952,596,2,3,5,672,1548,50,7,205000
9196,2003,1560,1560,0,2,3,7,573,1560,20,5,201000
19138,1951,864,864,0,1,2,4,400,864,20,5,141000
14450,2006,2121,2121,0,2,3,8,732,2121,20,5,415298
10005,1977,1160,1156,866,2,4,8,505,2022,60,5,192000
11287,1989,807,1175,807,2,3,7,575,1982,60,6,228500
7200,2006,1262,1262,0,2,2,5,572,1262,20,5,185000
5063,2007,1314,1314,0,2,2,6,626,1314,120,5,207500
9612,2008,1468,1468,0,2,3,6,898,1468,20,5,244600
8012,1992,1575,1575,0,2,2,5,529,1575,120,5,179200
4251,2006,625,625,625,2,2,5,528,1250,160,5,164700
9786,1962,912,1085,649,1,3,7,440,1734,50,7,159000
8125,1971,858,858,0,1,3,5,0,858,20,4,88000
9819,1967,882,900,0,1,3,5,280,900,20,5,122000
8730,1915,698,698,698,1,3,7,384,1396,70,7,153575
15611,2006,1079,1079,840,2,3,8,685,1919,60,5,233230
5687,1912,780,936,780,2,6,9,0,1716,190,6,135900
11409,1949,768,1148,568,1,3,8,281,1716,50,4,131000
16659,1977,795,1468,795,2,3,9,539,2263,60,7,235000
9600,1953,1416,1644,0,1,3,7,418,1644,20,5,167000
7937,1984,1003,1003,0,1,3,6,588,1003,80,6,142500
13710,1950,910,910,648,1,4,6,282,1558,50,5,152000
7399,1997,975,975,975,2,3,7,576,1950,60,5,239000
11700,1968,702,1041,702,1,3,7,539,1743,60,6,175000
14000,1950,1092,1152,0,1,3,6,300,1152,20,8,158500
15750,1953,1165,1336,0,1,2,5,375,1336,190,5,157000
16226,1998,1028,1210,1242,2,4,9,683,2452,60,5,267000
13704,2001,1541,1541,0,2,3,6,843,1541,20,5,205000
9800,1972,894,894,0,1,3,5,552,894,20,7,149900
18386,1880,1470,1675,1818,3,3,10,870,3493,75,9,295000
10386,2004,2000,2000,0,2,3,8,888,2000,20,5,305900
13474,1990,700,1122,1121,2,4,8,746,2243,60,5,225000
7920,1920,319,1035,371,1,3,6,0,1406,50,7,89500
12342,1940,861,861,0,1,1,4,539,861,30,5,82500
12378,2003,1896,1944,0,2,3,8,708,1944,20,5,360000
7685,1993,697,697,804,2,3,6,420,1501,60,5,165600
8000,1948,972,972,0,1,2,5,240,972,20,6,132000
7800,1939,793,793,325,1,3,5,410,1118,190,7,119900
215245,1965,2136,2036,0,2,3,8,513,2036,20,5,375000
9600,1925,728,832,809,1,3,6,546,1641,70,7,178000
7795,2004,716,716,716,2,3,6,432,1432,60,5,188500
13005,1980,845,1153,1200,2,4,10,484,2353,60,7,260000
9000,2006,1088,1088,871,2,3,8,1025,1959,60,5,270000
9900,1993,1347,1372,1274,2,4,9,656,2646,60,5,260000
14115,1980,1372,1472,0,2,3,6,588,1472,80,5,187500
16259,2006,1249,1249,1347,3,4,9,840,2596,60,5,342643
12099,2004,1136,1136,1332,2,4,10,872,2468,60,5,354000
10380,1986,1502,1553,1177,2,4,8,576,2730,60,5,301000
5820,1955,1162,1163,0,1,3,6,220,1163,20,8,126175
11275,1967,710,1898,1080,2,5,11,564,2978,80,7,242000
5000,1941,720,803,0,1,2,5,360,803,45,6,87000
10846,1993,1719,1719,0,1,1,6,473,1719,120,5,324000
11600,1960,1383,1383,0,1,3,7,292,1383,20,5,145250
11888,1916,844,1445,689,2,5,10,441,2134,75,6,214500
6402,1920,596,596,596,1,3,6,189,1192,70,5,78000
10624,1964,1728,1728,0,2,6,10,352,1728,90,4,119000
8176,1958,1056,1056,0,1,3,6,308,1056,20,6,139000
10655,2003,3206,1629,0,2,3,7,880,1629,20,5,284000
8198,2004,1358,1358,0,2,2,6,484,1358,120,5,207000
9042,1998,943,943,695,2,3,7,472,1638,60,5,192000
164660,1965,1499,1619,167,2,3,7,529,1786,190,6,228950
14157,2005,1922,1922,0,2,3,8,676,1922,20,5,377426
9135,2002,1536,1536,0,2,3,7,532,1536,20,5,214000
14145,1984,1208,1621,0,2,3,8,440,1621,20,7,202500
12400,1958,1215,1215,0,1,3,6,297,1215,20,7,155000
14191,2002,967,993,915,2,4,9,431,1908,60,5,202900
8400,1950,721,841,0,1,2,4,294,841,20,4,82000
8544,1949,0,1040,0,2,2,6,400,1040,90,4,87500
8849,2005,1684,1684,0,2,2,6,564,1684,120,5,266000
2592,1976,536,536,576,1,3,4,336,1112,160,3,85000
6435,1939,972,972,605,1,3,6,312,1577,50,5,140200
12772,1960,958,958,0,1,2,5,301,958,20,8,151500
17600,1960,1478,1478,0,2,3,6,498,1478,20,5,157500
2448,2003,764,764,862,2,2,6,474,1626,160,5,154000
20431,2005,1848,1848,880,2,4,10,706,2728,60,5,437154
7820,2007,1869,1869,0,2,2,6,617,1869,120,5,318061
5271,1986,1453,1453,0,1,2,6,445,1453,120,5,190000
9084,1941,616,616,495,1,3,5,200,1111,50,6,95000
8520,1928,624,720,0,1,2,5,484,720,30,8,105900
8400,1940,940,1192,403,1,2,6,240,1595,50,5,140000
11249,1995,1200,1200,0,2,3,6,521,1200,20,5,177500
9248,1992,1158,1167,0,2,3,6,400,1167,20,6,173000
4224,1976,1142,1142,0,1,3,6,528,1142,120,5,134000
6930,1958,1062,1352,0,1,3,6,288,1352,80,4,130000
12011,1998,1086,1086,838,2,3,7,592,1924,60,5,280000
7540,1978,888,912,0,1,2,5,470,912,85,6,156000
9144,1940,883,988,517,1,3,8,240,1505,50,5,145000
